# Branch 输入 u：右端项 f 在均匀传感器网格上的离散值（与 generate_poisson_2d_data 中 u_test[k] 一致）
# nx=10 ny=10 N=100  meshgrid indexing=xy 展平顺序与训练数据一致
# 测试集样本索引 k=40  seed=42  best_test=True
# query 点 rel_l2=1.923968052548827301e-02
# Fourier 系数 a (维度 4)；解析真解 p 由 a 给出（fourier_to_solution）
# 1.616875290870666504e+00 1.488510727882385254e+00 9.554636478424072266e-01 8.733078241348266602e-01
# --- 解析真解 p 分量 i, p_i（与 f 同网格）---
44	2.493467330932617188e+00
45	1.645505666732788086e+00
46	7.463189959526062012e-01
47	1.299573481082916260e-01
48	-7.809805870056152344e-02
49	3.303371798324405972e-08
50	0.000000000000000000e+00
51	7.833157777786254883e-01
52	1.328775882720947266e+00
53	1.494300246238708496e+00
54	1.286419272422790527e+00
55	8.470882773399353027e-01
56	3.818750977516174316e-01
57	6.377243995666503906e-02
58	-4.235640168190002441e-02
59	1.759885748242595582e-08
60	0.000000000000000000e+00
61	8.375501632690429688e-02
62	1.415247917175292969e-01
63	1.578902006149291992e-01
64	1.338123679161071777e-01
65	8.514362573623657227e-02
66	3.465664386749267578e-02
67	1.388549804687500000e-03
68	-7.712453603744506836e-03
69	2.721549208217766136e-09
70	0.000000000000000000e+00
71	-3.039510250091552734e-01
72	-5.163512825965881348e-01
73	-5.823758840560913086e-01
74	-5.042047500610351562e-01
75	-3.360126018524169922e-01
76	-1.564989089965820312e-01
77	-3.206181526184082031e-02
78	1.214647293090820312e-02
79	-5.697415872418787330e-09
80	0.000000000000000000e+00
81	-2.888796925544738770e-01
82	-4.905526936054229736e-01
83	-5.528323054313659668e-01
84	-4.778831899166107178e-01
85	-3.174321651458740234e-01
86	-1.465563178062438965e-01
87	-2.855265140533447266e-02
88	1.266947388648986816e-02
89	-5.711768835681141354e-09
90	0.000000000000000000e+00
91	8.512706983765383484e-08
92	1.445463624349940801e-07
93	1.628755370575163397e-07
94	1.407569811817666050e-07
95	9.344553575374447973e-08
96	4.307872814024449326e-08
97	8.318480126945360098e-09
98	-3.789367042372759897e-09
99	1.697892789364295607e-15
